transaction_amount,transaction_hour,distance_from_home_km,distance_from_last_transaction_km,ratio_to_median_purchase,repeat_retailer,used_chip,used_pin,online_order,cash_withdrawal,card_age_days,device_trust_score,transactions_last_24h,merchant_risk_score,weekend,foreign_transaction,fraud
3.04,10,53.18,2.77,0.658,1,1,0,0,0,995,0.761,3,33.66,1,0,0
44.44,21,2.79,21.75,1.669,0,0,0,0,1,646,0.302,6,25.78,1,0,0
16.96,10,9.9,0.28,0.877,1,1,1,0,0,444,0.765,1,35.69,0,0,0
26.89,19,18.84,27.65,1.338,0,1,0,1,0,1201,0.352,4,48.56,0,0,1
47.05,20,5.04,2.9,0.519,1,1,1,0,1,57,0.928,2,20.95,0,0,0
17.9,8,22.76,3.59,1.783,1,1,0,0,1,1552,0.463,6,49.44,0,0,0
18.55,22,0.72,2.11,1.224,1,1,0,1,0,350,0.673,8,40.99,0,0,0
143.96,9,5.13,1.09,0.259,0,0,1,1,0,567,0.821,2,11.23,0,0,0
22.61,21,7.85,5.0,1.22,1,1,0,1,0,10,0.766,0,23.41,1,0,0
16.1,21,1.14,4.72,0.433,1,1,1,1,1,658,0.908,2,14.91,0,0,0
100.62,15,4.18,0.92,1.044,1,1,1,0,1,25,0.706,3,51.65,1,0,0
48.58,3,13.19,16.59,0.432,1,0,1,0,0,635,0.689,3,24.48,0,0,0
28.66,14,1.27,6.16,1.636,1,0,0,1,0,580,0.815,2,23.58,0,0,0
15.89,2,1.75,5.71,1.267,0,0,1,0,0,828,0.592,2,30.33,0,0,0
6.7,8,4.88,6.98,5.068,1,1,0,1,0,1611,0.616,2,13.56,0,0,0
114.27,1,14.48,4.53,0.653,1,0,0,1,0,799,0.713,1,47.35,1,0,1
94.0,16,17.39,12.68,0.538,0,0,0,0,1,318,0.622,3,10.19,0,0,1
44.15,11,1.45,0.89,2.352,1,0,0,1,0,250,0.99,3,10.16,0,0,0
7.63,2,11.03,15.62,0.674,1,1,1,0,0,1107,0.82,4,48.71,0,1,0
70.4,18,10.28,3.46,0.645,1,0,0,1,0,1308,0.877,3,7.53,1,0,0
40.95,5,29.06,1.88,0.918,1,0,1,0,0,11,0.87,5,40.16,0,0,0
23.4,17,2.43,0.58,0.539,0,0,0,0,0,1351,0.782,3,20.49,0,0,0
11.12,9,6.03,0.2,0.752,0,0,0,1,0,477,0.99,3,55.27,0,0,0
6.41,20,0.23,4.69,0.701,1,0,0,0,0,988,0.88,6,39.25,1,0,0
11.71,23,15.19,2.29,0.595,1,0,1,1,0,1040,0.835,1,20.31,0,0,0
11.71,9,11.68,7.75,1.349,1,1,0,0,0,391,0.844,0,19.3,0,0,0
5.81,10,14.65,6.21,2.874,1,1,1,1,0,10,0.664,0,27.19,0,0,1
9.88,23,1.32,4.21,0.421,0,1,0,1,1,531,0.445,3,28.19,0,0,0
29.75,12,3.61,1.44,1.375,0,0,0,0,0,329,0.99,3,39.4,1,0,0
25.7,19,3.57,11.77,1.29,1,1,0,0,0,502,0.804,6,40.2,1,0,0
18.65,12,15.7,1.97,1.39,1,0,1,0,1,726,0.608,2,19.74,0,0,0
94.12,21,8.31,10.7,0.627,1,1,1,1,0,576,0.29,3,42.89,0,0,0
10.92,5,0.14,23.05,0.496,1,1,0,1,0,859,0.555,6,35.73,0,0,0
42.1,12,1.51,2.48,1.256,0,0,1,0,0,37,0.631,8,31.91,0,0,0
85.26,10,13.65,5.72,1.082,1,0,1,0,0,647,0.55,5,27.69,0,1,0
12.7,8,0.09,3.96,1.636,1,1,1,1,0,550,0.824,5,8.1,0,0,0
17.34,21,25.38,0.18,0.802,0,0,0,1,0,441,0.653,4,25.75,0,0,0
7.76,1,2.19,1.49,1.519,1,1,0,0,0,1189,0.716,4,40.36,1,0,0
23.71,17,5.01,18.12,0.634,1,1,1,0,0,996,0.689,1,37.02,0,0,0
7.34,21,4.47,4.09,0.783,1,1,0,0,0,1261,0.629,5,60.09,1,0,0
6.99,19,10.56,3.74,1.33,1,0,0,0,0,10,0.449,3,23.2,0,0,0
79.74,6,24.83,3.26,0.728,1,0,0,1,1,654,0.644,2,28.62,1,0,0
11.08,23,5.65,1.43,1.219,1,1,0,0,0,1466,0.816,6,47.9,0,0,0
22.3,14,4.62,1.65,3.465,1,1,1,1,0,534,0.947,3,15.18,0,0,0
57.67,6,2.95,28.49,0.841,1,0,1,0,0,514,0.688,3,12.43,0,0,0
15.94,15,2.95,0.59,1.744,1,1,1,1,0,493,0.6,5,54.48,0,0,0
37.69,19,6.46,15.72,0.541,1,0,0,0,0,986,0.478,4,56.62,0,0,1
27.75,20,3.17,1.65,1.449,1,0,0,1,1,10,0.888,3,51.77,0,0,0
32.63,4,26.73,9.63,0.971,0,1,0,0,0,108,0.781,2,24.31,0,0,0
41.67,23,1.94,4.69,1.414,0,0,0,0,0,748,0.929,7,44.25,0,0,0
31.93,23,10.71,3.14,2.016,0,1,0,0,1,594,0.717,3,21.76,1,0,1
28.79,12,17.36,16.76,1.109,1,1,0,0,0,1268,0.518,6,19.65,0,0,0
23.07,8,11.68,14.79,0.7,1,1,0,1,0,580,0.511,4,21.53,0,1,0
15.81,18,14.95,0.89,0.406,1,0,0,1,0,10,0.76,4,47.39,0,0,0
105.13,20,22.73,11.52,0.582,0,1,1,0,0,1202,0.99,1,24.22,1,0,0
173.69,2,10.83,8.26,0.827,0,1,0,0,0,815,0.723,6,72.34,1,0,0
43.53,17,17.98,0.43,1.126,1,1,1,1,0,471,0.908,2,67.89,0,0,0
69.54,9,14.34,1.02,0.369,0,0,0,0,0,717,0.544,2,13.75,1,0,0
61.79,13,19.05,9.14,0.945,1,1,1,0,0,316,0.511,4,24.85,1,0,0
113.74,16,56.74,26.53,1.655,1,0,1,0,0,473,0.681,2,22.45,0,1,1
48.32,9,4.63,22.59,1.331,1,0,1,0,1,823,0.815,3,37.53,0,0,0
164.08,17,46.86,15.28,1.086,1,1,1,0,0,10,0.99,1,15.09,0,0,0
209.06,19,13.65,17.42,0.701,1,0,0,1,1,730,0.51,1,43.16,0,0,1
34.13,14,2.28,1.79,1.262,0,0,0,0,0,508,0.751,2,29.65,0,0,0
22.68,12,1.12,8.72,1.317,0,1,1,1,0,799,0.583,3,33.62,0,0,0
15.41,22,1.85,0.27,0.857,0,0,0,0,0,482,0.646,3,21.8,1,0,0
5.13,16,9.22,1.75,0.898,0,1,0,1,0,890,0.75,5,24.09,0,0,0
21.04,7,2.07,15.86,3.592,1,1,0,1,1,1380,0.7,2,67.3,0,0,0
29.81,22,8.92,3.43,0.673,0,0,0,1,0,221,0.674,1,45.54,0,0,0
17.74,4,3.4,2.79,0.771,1,1,1,1,0,814,0.662,4,46.99,0,0,0
87.82,9,20.65,1.66,1.733,1,0,0,1,0,759,0.648,2,34.36,0,0,0
25.16,0,9.41,4.29,0.662,1,0,0,1,0,10,0.538,2,23.28,0,1,1
14.02,12,0.11,11.53,1.554,0,0,0,0,0,431,0.759,5,7.27,0,0,0
30.8,3,1.61,5.27,0.924,0,0,0,1,0,157,0.722,5,60.03,1,0,0
16.49,2,36.98,8.77,1.283,0,1,1,0,0,307,0.781,5,46.32,0,0,0
105.07,0,3.18,2.36,0.801,1,1,1,1,0,212,0.569,5,7.68,0,0,0
10.98,12,10.31,34.82,1.123,0,1,0,1,0,179,0.662,2,21.58,0,0,0
37.23,17,20.48,6.05,0.745,0,1,0,0,1,1513,0.928,1,19.82,0,0,0
64.03,19,21.4,2.89,1.156,1,1,0,1,0,457,0.709,2,54.48,1,0,0
13.06,3,17.8,14.03,1.394,1,1,1,1,0,1043,0.607,4,32.27,1,0,0
35.74,18,17.81,23.4,1.784,1,0,0,0,0,1405,0.857,3,22.35,0,0,0
35.22,10,11.02,11.02,0.825,1,0,1,0,0,1759,0.704,2,37.08,0,0,0
35.94,14,21.15,8.4,0.587,1,0,0,1,0,1223,0.913,2,19.72,0,0,0
20.25,16,2.92,31.05,1.657,1,0,1,1,0,447,0.581,1,23.09,0,0,0
65.45,6,21.68,0.21,0.535,0,0,0,0,1,1423,0.486,2,30.53,0,0,0
46.21,14,16.31,6.3,0.716,1,0,1,1,0,394,0.744,2,12.22,1,0,0
38.89,10,48.65,0.18,1.123,0,1,0,1,1,76,0.644,4,12.4,0,0,0
14.24,8,7.75,8.05,3.878,0,1,1,0,0,393,0.592,2,24.35,1,0,0
21.65,9,11.94,0.35,2.246,1,1,1,0,1,854,0.823,1,25.73,0,0,0
25.99,0,16.43,12.48,0.574,1,0,0,0,0,10,0.579,4,28.62,1,0,1
31.17,17,21.32,13.47,0.636,0,1,0,1,1,230,0.832,4,28.42,1,0,0
46.19,16,4.54,36.81,1.044,0,1,0,0,1,1038,0.632,4,15.41,1,0,0
33.54,7,4.95,0.57,1.617,1,1,0,1,1,808,0.652,3,50.18,1,1,0
32.92,0,18.65,13.76,2.631,1,1,1,1,0,783,0.937,5,27.43,0,0,0
50.43,21,5.25,2.31,0.67,1,1,0,1,1,1319,0.559,4,12.95,0,0,1
37.26,2,9.78,0.35,0.583,1,0,0,1,0,10,0.847,2,24.61,0,0,0
54.08,18,18.51,0.34,0.65,1,1,1,0,0,1053,0.632,6,27.06,0,0,0
64.28,9,8.72,3.4,0.956,0,1,0,0,1,201,0.786,5,44.29,1,0,0
85.11,12,14.66,5.47,0.625,1,1,1,1,0,1757,0.776,3,61.47,1,0,0
49.17,16,15.01,3.79,0.845,1,1,0,1,1,380,0.298,1,22.85,0,0,0
24.36,19,0.49,6.81,1.468,1,1,0,1,0,157,0.384,5,42.61,0,0,0
2.89,18,13.47,14.84,2.818,1,1,1,0,0,156,0.599,4,41.5,0,0,0
25.87,11,14.09,4.34,0.616,1,0,0,0,0,821,0.804,2,10.75,0,0,0
14.59,11,48.92,11.82,0.362,1,1,0,0,0,533,0.966,1,8.02,0,0,0
29.37,14,29.5,0.5,1.498,0,1,1,0,0,825,0.745,4,13.06,0,0,0
22.94,13,10.81,3.54,1.254,1,1,0,1,0,1475,0.663,1,34.66,0,0,0
32.12,16,5.61,1.17,2.101,0,1,0,0,1,963,0.99,5,33.22,0,0,0
21.21,23,26.25,15.3,0.351,1,1,1,0,0,730,0.696,4,20.54,1,0,0
23.21,20,6.24,6.1,0.476,0,0,0,1,0,869,0.564,4,20.83,0,0,0
15.83,18,11.61,0.97,1.408,0,1,1,1,0,513,0.668,0,20.32,0,0,0
17.83,7,9.59,8.76,0.842,1,0,0,1,0,538,0.827,7,24.01,0,0,0
18.47,13,26.39,7.85,0.712,0,0,1,1,0,10,0.697,11,47.49,0,0,0
88.72,23,54.1,9.76,0.671,1,0,1,0,0,652,0.727,1,47.28,0,0,1
32.77,22,9.18,0.69,0.767,1,0,0,1,0,601,0.446,3,63.6,1,1,0
4.33,21,21.18,3.0,0.878,1,1,0,0,0,295,0.637,1,16.21,0,0,0
29.49,22,32.48,1.22,0.635,1,1,1,0,1,872,0.449,6,25.24,1,0,0
